['$GNRMC', '191129.00', 'A', '6004.25800', 'N', '03015.62705', 'E', '0.043', '', '250525', '', '', 'A*63\r\n']
['$GNRMC', '191130.00', 'A', '6004.25798', 'N', '03015.62653', 'E', '0.038', '', '250525', '', '', 'A*6B\r\n']
['$GNRMC', '191131.00', 'A', '6004.25794', 'N', '03015.62615', 'E', '0.046', '', '250525', '', '', 'A*6D\r\n']
['$GNRMC', '191132.00', 'A', '6004.25792', 'N', '03015.62592', 'E', '0.007', '', '250525', '', '', 'A*61\r\n']
['$GNRMC', '191133.00', 'A', '6004.25790', 'N', '03015.62578', 'E', '0.052', '', '250525', '', '', 'A*66\r\n']
['$GNRMC', '191134.00', 'A', '6004.25785', 'N', '03015.62574', 'E', '0.046', '', '250525', '', '', 'A*6C\r\n']
['$GNRMC', '191135.00', 'A', '6004.25779', 'N', '03015.62574', 'E', '0.037', '', '250525', '', '', 'A*68\r\n']
['$GNRMC', '191136.00', 'A', '6004.25774', 'N', '03015.62580', 'E', '0.025', '', '250525', '', '', 'A*6E\r\n']
['$GNRMC', '191145.00', 'A', '6004.25763', 'N', '03015.62318', 'E', '0.034', '', '250525', '', '', 'A*6B\r\n']
['$GNRMC', '191146.00', 'A', '6004.25764', 'N', '03015.62291', 'E', '0.027', '', '250525', '', '', 'A*6D\r\n']
['$GNRMC', '191147.00', 'A', '6004.25762', 'N', '03015.62265', 'E', '0.008', '', '250525', '', '', 'A*6C\r\n']
['$GNRMC', '191148.00', 'A', '6004.25761', 'N', '03015.62234', 'E', '0.027', '', '250525', '', '', 'A*69\r\n']
['$GNRMC', '191149.00', 'A', '6004.25759', 'N', '03015.62207', 'E', '0.044', '', '250525', '', '', 'A*66\r\n']
